Consortium	name	library:numSubjects	library:dataCategory.itemsType	library:dataCategory.items	library:datatype.itemsType	library:datatype.items	library:dataUseRestriction	library:indication	study_accession	library:datasetName	library:datasetVersion	library:datasetDescription	library:datasetOwner	library:datasetCustodian	library:datasetDepositor	library:contactEmail	library:institute.itemsType	library:institute.items	library:primaryDiseaseSite	library:primaryDiseaseSite	library:reference	library:dataFileFormats.itemsType	library:dataFileFormats.items	library:technology.itemsType	library:technology.items	library:studyDesign	library:ethnicity.itemsType	library:ethnicity.items	library:cohortCountry	library:requiresExternalApproval	library:lmsvn	library:dulvn	library:discoverableByGroups.itemsType	library:discoverableByGroups.items	tag:tags.itemsType	tag:tags.items	library:DS	library:HMB	library:NMDS	library:NCU	library:NPU	library:NCTRL	library:GRU	library:RS-PD	library:IRB	library:RS-G	library:NAGR	library:DS_URL.itemsType	library:DS_URL.items	library:DS.itemsType	library:orsp	library:dataAccessInstructions	referenceData_hg38_known_indels_sites_VCFs.itemsType	referenceData_hg38_known_indels_sites_VCFs.items	referenceData_hg38_ref_fasta	referenceData_hg38_ref_alt	referenceData_hg38_ref_amb	referenceData_hg38_axiomPoly_resource_vcf_index	referenceData_hg38_ref_fasta_index	referenceData_hg38_mills_resource_vcf	referenceData_hg38_one_thoUnited Statesnd_genomes_resource_vcf	referenceData_hg38_dbsnp_vcf_index	referenceData_hg38_known_indels_sites_indices.itemsType	referenceData_hg38_known_indels_sites_indices.items	referenceData_hg38_one_thoUnited Statesnd_genomes_resource_vcf_index	referenceData_hg38_call_interval_list	referenceData_hg38_ref_dict	referenceData_hg38_dbsnp_vcf	referenceData_hg38_mills_resource_vcf_index	referenceData_hg38_ref_sa	referenceData_hg38_hapmap_resource_vcf_index	referenceData_hg38_hapmap_resource_vcf	referenceData_hg38_omni_resource_vcf_index	referenceData_hg38_axiomPoly_resource_vcf	referenceData_hg38_eval_interval_list	referenceData_hg38_omni_resource_vcf	referenceData_hg38_scattered_calling_intervals_list	referenceData_hg38_unpadded_intervals_file	referenceData_hg38_ref_pac	referenceData_hg38_ref_bwt	referenceData_hg38_ref_ann	diseaseOntologyLabel	indication	reference	datasetCustodian	datasetVersion	projectName	datasetDescription	dulvn	useLimitationOption	NPU	RS-PD	dataUseRestriction	numSubjects	datasetOwner	tags	published	datasetName	technology	discoverableByGroups	NCU	RS-G	IRB	requiresExternalApproval	studyDesign	NAGR	contactEmail	datasetDepositor	datatype	dataCategory	NMDS	NCTRL	GRU	HMB	diseaseOntologyID	dataFileFormats	genome_fasta_index	sample_attributes	subject_phenotypes	transcripts_gtf	genome_fasta_dict	genes_gtf	vcf_index	genome_fasta	vcf_file	lmsvn	rnaseq_genome_fasta_index	rnaseq_genome_fasta	rnaseq_genome_fasta_dict
CCDG	AnVIL_CCDG_NYGC_NP_Alz_EFIGA_WGS	1177	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU-IRB-PUB	Alzheimer's disease	phs000496	EFIGA	1	Columbia University Study of Caribbean Hispanics with Familial and Sporadic Late Onset Alzheimer's disease is made up of individuals in families multiply affected by Alzheimer's disease. These families were recruited in the United States, Puerto Rico and the Dominican Republic. In addition, the study recruited those with sporadic Alzheimer's disease and unrelated controls phenotyped in a similar fashion. Both cohorts are followed at regular intervals of 18 to 24 months, and potential phenotypes available other than those related to Alzheimer's disease include body mass index, measured blood pressure, neurological history and examinations. dbGaP study ID: phs000496	Richard Mayeux	NHGRI	Julia Moore Vogel	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Case/Control	AttributeValue	Other; Hispanic or Latino', 'Unknown	United States	TRUE	6	4	AttributeValue	all_broad-users			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_Alz_LOAD_WGS	1049	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU-IRB-PUB	Alzheimer's disease	phs000160	LOAD	1	National Institute on Aging (NIA) Late-Onset Alzheimer's Disease Genetics Initiative: The Multiplex Family Study is to identify families with multiple members diagnosed with late-onset Alzheimer's Disease. Families will be characterized clinically and blood samples will be collected to establish cell lines. If a blood sample is not available, autopsy samples will be collected for DNA extraction and storage. Our goal is to recruit 1,000 families over the course of the study. Clinical and demographic data from these families will be collected at the local site and coded data, without identifiers, will be sent and included in a national database of families with Alzheimer's Disease. This database, along with the biological samples, will be housed at the National Cell Repository for Alzheimer's Disease (NCRAD) at Indiana University. dbGaP study ID: phs000160	Richard Mayeux	NHGRI	Julia Moore Vogel	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family, Control set	AttributeValue	American Indian or Alaskan Native; not Hispanic or Latino', 'Asian; not Hispanic or Latino', 'Black or African American; Hispanic or Latino', 'Black or African American; not Hispanic or Latino', 'Other; Hispanic or Latino', 'White; Hispanic or Latino', 'White; not Hispanic or Latino', 'White; unknown as to Hispanic or Latino', 'White; Unknown', 'Unknown	United States	TRUE	6	4	AttributeValue	all_broad-users			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Alz_WHICAP_WGS	148	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU-IRB-PUB	Alzheimer's disease	phs000496	WHICAP	1	Columbia University Study of Caribbean Hispanics with Familial and Sporadic Late Onset Alzheimer's disease is made up of individuals in families multiply affected by Alzheimer's disease. These families were recruited in the United States, Puerto Rico and the Dominican Republic. In addition, the study recruited those with sporadic Alzheimer's disease and unrelated controls phenotyped in a similar fashion. Both cohorts are followed at regular intervals of 18 to 24 months, and potential phenotypes available other than those related to Alzheimer's disease include body mass index, measured blood pressure, neurological history and examinations. dbGaP study ID: phs000496	Richard Mayeux	NHGRI	Julia Moore Vogel	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Case/Control	AttributeValue	Black or African American; unknown as to Hispanic or Latino	United States	TRUE	6	4	AttributeValue	all_broad-users			FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_ACE2_DS-MDS_WGS	142	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-MDS-PUB	autism spectrum disorder	phs002042	ACE2	1	In the Autism Center of Excellence (ACE II) study, we address the enormous challenges common complex diseases pose for genomic analysis and the enormous opportunities surmounting them offers for advancing healthcare. dbGaP study ID: phs002042	Tom Maniatis	NHGRI	Cat Reeves	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Parent-Offspring	AttributeValue	Hispanic or Latino', 'Not Hispanic or Latino', 'Not Asked', 'Unknown	United States	FALSE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_ACEII_GRU_WGS	757	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	GRU-MDS-PUB	autism spectrum disorder	phs002042	ACE2	1	In the Autism Center of Excellence (ACE II) study, we address the enormous challenges common complex diseases pose for genomic analysis and the enormous opportunities surmounting them offers for advancing healthcare. dbGaP study ID: phs002042	Tom Maniatis	NHGRI	Cat Reeves	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Parent-Offspring	AttributeValue	Hispanic or Latino', 'Not Hispanic or Latino', 'Not Asked', 'Unknown	United States	FALSE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_AGRE_WGS	4601	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-IRB	autism spectrum disorder	phs001766	AGRE	1	Autism Genetic Resource Exchange (AGRE) is a collection of over 1700 well-characterized multiplex and simplex families made available to the greater scientific community. During recruitment, families identify the diagnosis they received from their physician or autism specialist. Families with two or more children diagnosed with Autism, PDD-NOS or Asperger???s syndrome are accepted into the program, provided they have not participated in any other autism gene bank. dbGaP study ID: phs001766	Tom Maniatis	NHGRI	Cat Reeves	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family, Parent-Offspring	AttributeValue	American Indian or Alaskan Native; Hispanic or Latino', 'American Indian or Alaskan Native; not Hispanic or Latino', 'Asian; Hispanic or Latino', Asian; Not Hispanic or Latino', 'Black or African American; not Hispanic or Latino', 'Other; Hispanic or Latino', 'Other; not Hispanic or Latino', 'Other; unknown as to Hispanic or Latino', 'Unknown', 'White; Hispanic or Latino', 'White; not Hispanic or Latino', 'White; unknown as to Hispanic or Latino	United States	TRUE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_HMCA_WGS	724	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-PUB-GSO	autism spectrum disorder	phs001894	HMCA	1	Homozygosity Mapping Collaborative for Autism (HMCA) is a study that recruited 104 families (79 simplex and 25 multiplex) from the Arabic Middle East, Turkey, and Pakistan, of which 88 pedigrees (69 simplex and 19 multiplex) have cousin marriages (i.e., parental consanguinity). To establish thorough research diagnoses, international participating clinicians received training in accepted autism research scales. dbGaP study ID: phs001894	Tom Maniatis	NHGRI	Cat Reeves	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family, Parent-Offspring	AttributeValue	Unknown	United States	FALSE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_SAGE_WGS	1501	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-IRB	autism spectrum disorder	phs001740	SAGE	1	Recruited families participating in the Study of Autism Genetics Exploration (SAGE) range in age from 24 months old to adulthood and meet diagnostic criteria for ASD with no other factors likely to contribute to the etiology (such as very low birth weight, other genetic conditions) or diagnostic criteria for nonASD developmental delay. Families are recruited from clinic patients undergoing a diagnostic evaluation for autism at Seattle Children???s Autism Center. dbGaP study ID: phs001740	Tom Maniatis	NHGRI	Julia Moore Vogel	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family	AttributeValue	American Indian or Alaskan Native; not Hispanic or Latino', 'Asian; not Hispanic or Latino', ''Asian; unknown as to Hispanic or Latino', 'Black or African American; not Hispanic or Latino', 'Other; Hispanic or Latino', 'Other; not Hispanic or Latino', 'White; Hispanic or Latino', 'White; not Hispanic or Latino', 'White; unknown as to Hispanic or Latino', 'Unknown	United States	TRUE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_SSC_WGS	9201	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-IRB-COL	autism spectrum disorder	phs001676	SSC	1	Autism-Simons Simplex Collection (SSC) is a study set funded by the Simons Foundation Autism Research Initiative (SFARI). More than 2000 families have been evaluated to date. On average, probands in the current sample exhibit moderate to severe autistic symptoms with relatively little intellectual disability. An interactive database has been created to facilitate correlations between clinical, genetic, and neurobiological data. dbGaP study ID: phs001676	Tom Maniatis	Simons Foundation	Julia Moore Vogel	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	Family	AttributeValue	American Indian or Alaskan Native; Hispanic or Latino', 'American Indian or Alaskan Native; not Hispanic or Latino', Asian; Not Hispanic or Latino', 'Black or African American; Hispanic or Latino', 'Black or African American; not Hispanic or Latino', 'Other; Hispanic or Latino', 'Other; not Hispanic or Latino', 'Other; unknown as to Hispanic or Latino', 'Unknown', 'White; Hispanic or Latino', 'White; not Hispanic or Latino	United States	TRUE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE																																																																																		
CCDG	AnVIL_CCDG_NYGC_NP_Autism_AFS_DS_WGS	729	AttributeValue	Raw Sequencing data	AttributeValue	Whole Genome	DS-ASD-IRB-PUB-COL-NPO-GSO	autism spectrum disorder	registration pending	AFS	1	N/A	Tom Maniatis	NHGRI	Alexi Runnels	help@lists.anvilproject.org	AttributeValue	New York Genome Center (NYGC)	Brain	CCDG NP	GRCh38/hg38	AttributeValue	CRAM	AttributeValue	Illumina	N/A	AttributeValue	Unknown	Belgium	TRUE	6	4	AttributeValue	all_broad-users			TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE																																																																																		
