name	sheet:consortium	tag:tags:consortium	study_accession	tag:tags:dbGaP	tagsSheet:tag:tags:dbGaP	library:dataUseRestriction	tag:tags:consent_code	library:indication	library:studyDesign	library:datatype.items	library:numSubjects	subjectCount	bucketName	sampleCount	participantCount	familyCount	discoveryCount	bucketSize	requestorPays
AnVIL_CMG_Broad_Muscle_KNC_WGS	CMG	CMG	phs001272.v1.p1.c4	Unspecified	phs001272	NA	Unspecified	NA	NA	Whole Genome	6	14	fc-secure-004e5c03-d24d-4f7f-a26b-9fdc64b0ca3c	14	0	14	14	247651787624	TRUE
anvil_ccdg_broad_ai_ibd_daly_niddk_cho_wes	CCDG	CCDG	Unspecified		phs001642	NA	Unspecified	NA	NA	Exome	5005	0	fc-secure-00737009-4e0f-454d-bb02-4b70566a0ed2	1966	1966	0	0	2870734252989	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_USABLC_GRU-NPU_WES	CCDG	CCDG	Unspecified	Unspecified	phs001498	NA	Unspecified	NA	NA	Exome	223	0	fc-secure-007d2d1a-cf4a-47ce-8d93-e47e843dbef5	223	223	0	0	403623651616	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_ITAUBG_DS_EPI_NPU_MDS_WES	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Exome	605	0	fc-secure-01106611-a0e9-41bb-ac13-27683ab2fc19	605	605	0	0	851409225916	TRUE
AnVIL_CMG_BaylorHopkins_HMB-NPU_WES	CMG	CMG	Unspecified	Unspecified	phs000711	HMB-NPU	Unspecified	mendelian disorders	Mendelian	Exome	819	438	fc-secure-01716d0c-bf96-4d6d-8af1-b93079ba34cd	2054	0	0	0	31235007899169	TRUE
AnVIL_eMERGE_HMB-MDS_Imputed_GWAS	eMERGE	Unspecified	Unspecified	phs001584	Unspecified	HMB-MDS	HMB-MDS		Case-control	Genotyping Array	10095	0	fc-secure-01a6385c-c158-4cba-b865-2ede53447a2b	0	0	0	0	0	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_ITAUMC_DS_NEURO_MDS_GSA-MD	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	Epilepsy	Case set	Genotyping Array	497	0	fc-secure-02e65bd8-f450-42a7-a3e1-6aa015d7b912	497	497	0	0	87073174368	FALSE
ANVIL_CMG_UWASH_DS-HFA	CMG	CMG	Unspecified	phs000693	phs000693	DS-HFA	Unspecified	mendelian disorders	Family/Twins/Trios	Exome	83	83	fc-secure-03c6c864-d619-4d35-b535-c493d1b0ab74	83	0	32	0	839124496706	FALSE
AnVIL_eMERGE_DS-DEM_Imputed_GWAS	eMERGE	Unspecified	Unspecified	phs001584	Unspecified	DS-DEM	DS-DEM		Case-control	Genotyping Array	2983	0	fc-secure-046a60b9-17c7-4b30-ac1c-57aba597f315	0	0	0	0	0	FALSE
AnVIL_CCDG_Broad_NP_Epilepsy_USAMGH_MGBB_HMB_MDS_WES	CCDG	CCDG	Unspecified	Unspecified	phs001498	NA	Unspecified	NA	NA	Exome	44	0	fc-secure-04e82709-08e0-4335-aaef-ba55089f6fd9	44	44	0	0	36861218932	TRUE
AnVIL_CCDG_Broad_NP_Epilepsy_USACRW_EPI_ASZ_MED_MDS_WES	CCDG	CCDG	Unspecified	phs001489	Unspecified	NA	Unspecified	NA	NA	Exome	37	0	fc-secure-05e511c4-0b47-41a5-a361-99f747cbef6c	37	37	0	0	61169758130	TRUE
AnVIL_eMERGE_GRU_Imputed_GWAS	eMERGE	Unspecified	Unspecified	phs001584	Unspecified	GRU	GRU		Case-control	Genotyping Array	26662	0	fc-secure-066541a8-20ae-482a-9cba-8b28fd184283	0	0	0	0	0	FALSE
ANVIL_CMG_Broad_Muscle_Laing_WES	CMG	CMG	phs001272.v1.p1.c3	Unspecified	phs001272		Unspecified	mendelian disorders		Exome	0	31	fc-secure-0709e235-78d6-4915-9c99-92e4984dedb9	31	0	31	31	78168449416	TRUE
AnVIL_eMERGE_NUgene_GRU_WGS	eMERGE	Unspecified	Unspecified	phs001191	Unspecified	GRU	GRU		Prospective Longitudinal Cohort	Whole Genome	900	0	fc-secure-07a85fa0-0415-49c0-b04a-a5ad618b508b	0	0	0	0	0	FALSE
AnVIL_CCDG_WashU_CVD_EOCAD_BioMe_WGS	CCDG	CCDG	Unspecified	Unspecified	phs001644	GRU	Unspecified	coronary artery disease	Case/Control	Whole Genome	648	648	fc-secure-07fcf1c8-7442-4047-826b-8fe723325ba2	648	0	0	0	9871745174095	TRUE
