Workspace,Created,Bucket Name,Discovery Count,Family Count,Participant Count,Sample Count,Subject Count,File Size
AnVIL_CMG_Broad_Muscle_KNC_WGS,2019-06-06T17:33:03.378Z,fc-secure-004e5c03-d24d-4f7f-a26b-9fdc64b0ca3c,14,14,0,14,14,247651787624
anvil_ccdg_broad_ai_ibd_daly_niddk_cho_wes,2020-07-23T19:21:06.136Z,fc-secure-00737009-4e0f-454d-bb02-4b70566a0ed2,0,0,2975,2058,0,2870734252989
AnVIL_CCDG_Broad_NP_Epilepsy_ITAUBG_DS_EPI_NPU_MDS_WES,2019-12-10T19:46:20.837Z,fc-secure-01106611-a0e9-41bb-ac13-27683ab2fc19,0,0,605,605,0,851409225916
AnVIL_CMG_BaylorHopkins_HMB-NPU_WES,2021-02-04T14:00:02.522Z,fc-secure-01716d0c-bf96-4d6d-8af1-b93079ba34cd,0,0,0,2054,438,31235007899169
AnVIL_CCDG_Broad_NP_Epilepsy_USAMGH_MGBB_HMB_MDS_WES,2020-11-03T19:48:46.214Z,fc-secure-04e82709-08e0-4335-aaef-ba55089f6fd9,0,0,44,44,0,36861218932
AnVIL_CCDG_Broad_NP_Epilepsy_USACRW_EPI_ASZ_MED_MDS_WES,2019-12-12T16:15:10.294Z,fc-secure-05e511c4-0b47-41a5-a361-99f747cbef6c,0,0,37,37,0,61169758130
ANVIL_CMG_Broad_Muscle_Laing_WES,2019-06-21T15:36:09.582Z,fc-secure-0709e235-78d6-4915-9c99-92e4984dedb9,31,31,0,31,31,78168449416
AnVIL_CCDG_WashU_CVD_EOCAD_BioMe_WGS,2019-06-06T17:33:34.602Z,fc-secure-07fcf1c8-7442-4047-826b-8fe723325ba2,0,0,647,648,0,9871745174095
AnVIL_ccdg_asc_ndd_daly_talkowski_chung_asd_exome,2020-04-24T00:32:17.849Z,fc-secure-08bb70e6-9fa1-40dc-8822-41d73945c053,0,0,523,523,0,829989110330
AnVIL_CCDG_Broad_CVD_EOCAD_TaiChi_WGS,2019-06-06T17:33:18.715Z,fc-secure-09e06b8a-30e8-47a8-8faa-ec7201bc120d,0,0,773,773,0,15135710520661
