Abbrev	Full text	Occurences
DS-ED	Disease-Specific (Eye Disease)	9
GRU	General Research Use	1001
GRU	General research use	6
SARD	Stroke and Related Disorders	2
HMB-IRB-MDS	Health/Medical/Biomedical (IRB, MDS)	30
HMB-IRB-NPU-MDS	Health/Medical/Biomedical (IRB, NPU, MDS)	26
ADHD	ADHD	1
BARD	Bipolar and related disorders	1
BDO	Bipolar disorder only	1
DS-T1DCR-IRB	Disease-Specific (Type 1 Diabetes, Complications, and Related Traits, IRB)	2
DS-ADO-GSO	Disease-Specific (Autoimmune Diseases, GSO)	1
PRSC	Psychiatric and Related Somatic Conditions	1
SARC	Schizophrenia and Related Conditions	2
HR	Health research (HR)	1
DS-T1D-IRB	Disease-Specific (Type 1 Diabetes, IRB)	1
DS-DRC-IRB	Disease-Specific (Diabetes and Related Complications, IRB)	3
T1DC	T1 Diabetes and complications (T1DC)	1
HMB-IRB	Health/Medical/Biomedical (IRB)	112
DS-CVD-IRB	Disease-Specific (Cardiovascular Disease, IRB)	18
NPU	Non-Profit Use Only	2
ARC	Alcoholism and Related Conditions	2
HR	Health Research	4
PLCO	Cancer and other diseases in adults only (PLCO)	1
EAGLE	Research related to smoking or lung disease (EAGLE)	1
CFA	Craniofacial Anomalies	1
DS-OH-GSO	Disease-Specific (Oral Health, GSO)	1
T2DMBIRTHWT	GWA mapping: Maternal Metabolism-Birth Weight Interactions	1
GRU-IRB	General Research Use (IRB)	131
GRU-NPU	General Research Use (NPU)	70
DS-PDRD-NPU	Disease-Specific (Parkinson's Disease and Related Disorders, NPU)	1
NPU	Non-profit_use	1
IBDO	Inflammatory Bowel Disease Only	2
MSRD	Multiple Sclerosis and Related disorders	1
MS	Multiple Sclerosis	1
T2D	T2D and complications	1
None	None	3
DS-SN-IRB-MDS	Disease-Specific (Social Network, IRB, MDS)	1
DS-SN-IRB-NPU-MDS	Disease-Specific (Social Network, IRB, NPU, MDS)	1
DS-HEM	Disease-Specific (Hematologic Disease)	4
NPU	Non-Profit Use	2
ALZ	Alzheimer Disease Only	2
ALZ_NPU	Alzheimer Disease and Non-Profit Use Only	2
ARR	Asthma-Related Research	1
NPU	Non Profit Use	1
HMB-GSO	Health/Medical/Biomedical (GSO)	15
MSG	Multiple Sclerosis Genetics research	1
HMB	Health/Medical/Biomedical	252
DS-CS	Disease-Specific (COPD and Smoking)	2
DS-T1DR-IRB	Disease-Specific (Type 1 diabetes, its complications and other autoimmune diseases, IRB)	1
RATRP	Research on Alcohol and Tobacco Related Phenotypes	2
EDO	Eye Disease Research Only	3
HR_VU	Health Research - Vanderbilt U	4
HR_NWU	Health Research - Northwestern U	3
GRU	General  research use	2
HMB-IRB-NPU	Health/Medical/Biomedical (IRB, NPU)	83
EA-IRB	Exchange Area use by PAGE study investigators only	10
RHDM	Research related to hematologic diseases and methods	1
LRR	Lupus Related Research	1
HR_MYO	Health Research - Mayo Clinic	3
GRU	Freeman Sheldon Syndrome Exome - General Research Use	1
CADM	Research related to adult diseases and methods	2
HMB-NPU	Health/Medical/Biomedical (NPU)	35
LSO	Leprosy Studies Only	1
PCR	Pediatric Cancer Research	17
GBA	Genetic Basis of Alzheimer’s	1
DS-CRM-PUB-MDS	Disease-Specific (Cancer Research and Methods, PUB, MDS)	1
EA	Exchange Area	74
DS-VAD	Disease-Specific (Vitiligo or Autoimmune Disorders)	1
DS-VTO	Disease-Specific (Vitiligo)	1
DS-CVD-IRB-MDS	Disease-Specific (Cardiovascular Disease, IRB, MDS)	7
DS-CVD-IRB-NPU-MDS	Disease-Specific (Cardiovascular Disease, IRB, NPU, MDS)	7
EA-IRB	Exchange Area with IRB	5
HMP	Human microbiome research	1
DS-AS-AT	Disease-Specific (Asthma and atopy)	1
HR_GHS	Health Research - Group Health Seattle	2
AGING_GHS	Dementia or Aging - Group Health Seattle	2
HR_MC	Health Research - Marshfield Clinic	2
DS-CA-MDS	Disease-Specific (Cancer, MDS)	63
GRC	Glaucoma and related conditions	1
GRU	Miller Syndrome Exome - General Research Use	1
CR	Cancer Research	1
HMP	Human Microbiome Research	15
APTC	For use in future research to learn about, prevent or treat cancer	1
DS	Disease Specific (Cystic Fibrosis and Genetic Variation Discovery Research Related to Cystic Fibrosis)	1
HMP	Microbiome	2
DS-ASD	Disease-Specific (Autism Spectrum Disorder)	7
MSRD	MS and Related Disorders	1
SUD	Substance Use Dependence Only	1
SUDCT	Substance Dependence, Childhood Trauma and Related Disorders	1
ARC	Alcohol Related Conditions	2
DS-CVD	Disease-Specific (Cardiovascular Disease)	8
NPU	Non Profit Use Only	1
DS-HLBS-IRB-NPU	Disease-Specific (Heart, Lung, Blood, and Sleep Disorders, IRB, NPU)	3
DS-FDO-IRB	Disease-Specific (Focused Disease Only, IRB)	13
DS-FDO-IRB-NPU	Disease-Specific (Focused Disease Only, IRB, NPU)	13
HMB-MDS	Health/Medical/Biomedical (MDS)	70
HMB-NPU-MDS	Health/Medical/Biomedical (NPU, MDS)	12
DS-CVD-MDS	Disease-Specific (Cardiovascular Disease, MDS)	4
DS-CVD-NPU-MDS	Disease-Specific (Cardiovascular Disease, NPU, MDS)	2
GR	General Research	1
GRU	GWAS of Venous Thrombosis	1
STROKE	Genetic Studies of Stroke	1
MEDCOND	Studies of Genes for Medical Conditions	1
KS	Kabuki Syndrome	1
DS-CS-RD	Disease-Specific (COPD and Smoking, RD)	6
DS-AOND-MDS	Disease-Specific (Autism or Other Neurodevelopment Conditions, MDS)	1
HMB-NPU	Health/Medical/Biomedical NonProfit Research Use	1
DIABCOMP	diabetes and complications	1
APTC	For use in the future research to learn about, prevent or treat cancer	1
HRM	Health Research and Methods	1
CRM	Cancer Research and Methods	2
PCRO	Prostate Cancer Research Only	1
CHDSADM	Cancer, Heart Disease, Stroke, Alzheimer Disease, and Diabetes Research and Methods	1
MEEI	Massachusetts Eye and Ear Infirmary	1
PPC	For general medical research, for non-profit only	2
DS-STK-IRB-RD	Disease Specific (Stroke and Related Disorders)	1
DS-CA-PUB-MDS	Disease-Specific (Cancer, PUB, MDS)	8
GRU-MDS	General Research Use (MDS)	32
DS-PTB	Disease-Specific (Preterm Birth)	1
DNAR	diabetes, kidney disease, retinopathy and/or related diseases	1
DS-HLB	Disease-Specific (Heart, Lung, and Blood diseases)	2
CADM	Cancer in all age groups, other diseases in adults only, and methods	28
SLD	Research related to lung disease or smoking	1
DS-DD-GSO-RD	Disease-Specific (Developmental Disabilities, GSO, RD)	1
GRU-GSO	General Research Use (GSO)	2
DS-SR	Disease-Specific (Stroke Research)	1
CADM	Cancer in all age groups, adult diseases, and methods	1
DS-CCRD-MDS	Disease-Specific (Cancer and Cancer-Related Disorders, MDS)	1
PTB	Preterm Birth and its Complications	1
