PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36567057","Lessons learned while starting multi-institutional genetics research in diverse populations: A report from the Clinical Sequencing Evidence-Generating Research (CSER) consortium","Russell H, Smith HS, Bensen JT, Murali P, Ferket BS, Finnila C, Hindorff LA, Sahin-Hodoglugil N.","Contemp Clin Trials. 2023 Feb;125:107063. doi: 10.1016/j.cct.2022.107063. Epub 2022 Dec 22.","Russell H","Contemp Clin Trials","2023","2022/12/25","PMC9918690","NIHMS1862156","10.1016/j.cct.2022.107063"
"36563179","Detection of mosaic variants using genome sequencing in a large pediatric cohort","Odgis JA, Gallagher KM, Rehman AU, Marathe PN, Bonini KE, Sebastin M, Di Biase M, Brown K, Kelly NR, Ramos MA, Thomas-Wilson A, Guha S, Okur V, Ganapathi M, Elkhoury L, Edelmann L, Zinberg RE, Abul-Husn NS, Diaz GA, Greally JM, Suckiel SA, Jobanputra V, Horowitz CR, Kenny EE, Wasserstein MP, Gelb BD.","Am J Med Genet A. 2023 Mar;191(3):699-710. doi: 10.1002/ajmg.a.63062. Epub 2022 Dec 23.","Odgis JA","Am J Med Genet A","2023","2022/12/23","","","10.1002/ajmg.a.63062"
"36516964","The PrU: Development and validation of a measure to assess personal utility of genomic results","Turbitt E, Kohler JN, Angelo F, Miller IM, Lewis KL, Goddard KAB, Wilfond BS, Biesecker BB, Leo MC.","Genet Med. 2023 Mar;25(3):100356. doi: 10.1016/j.gim.2022.12.003. Epub 2022 Dec 11.","Turbitt E","Genet Med","2023","2022/12/14","","","10.1016/j.gim.2022.12.003"
"36414972","Return of non-ACMG recommended incidental genetic findings to pediatric patients: considerations and opportunities from experiences in genomic sequencing","Bowling KM, Thompson ML, Kelly MA, Scollon S, Slavotinek AM, Powell BC, Kirmse BM, Hendon LG, Brothers KB, Korf BR, Cooper GM, Greally JM, Hurst ACE.","Genome Med. 2022 Nov 21;14(1):131. doi: 10.1186/s13073-022-01139-2.","Bowling KM","Genome Med","2022","2022/11/22","PMC9682742","","10.1186/s13073-022-01139-2"
"36341765","Conducting clinical genomics research during the COVID-19 pandemic: Lessons learned from the CSER consortium experience","Kraft SA, Russell H, Bensen JT, Bonini KE, Robinson JO, Sahin-Hodoglugil N, Renna K, Hindorff LA, Kaufman D, Horowitz CR, Waltz M, Zepp JM, Knight SJ.","Am J Med Genet A. 2023 Feb;191(2):391-399. doi: 10.1002/ajmg.a.63033. Epub 2022 Nov 7.","Kraft SA","Am J Med Genet A","2023","2022/11/07","PMC9839535","NIHMS1846082","10.1002/ajmg.a.63033"
"36053287","An accessible, relational, inclusive, and actionable (ARIA) model of genetic counseling compared with usual care: Results of a randomized controlled trial","Joseph G, Leo MC, Riddle L, Guerra C, Amendola LM, Gilmore MJ, Rolf BA, Dorschner MO, Zepp J, Biesecker BB, Caruncho M, Hunter JE, Keast E, Lewis HS, Duenas D, Kauffman T, Bulkley JE, Anderson KP, Jarvik GP, Goddard KAB, Wilfond BS; CHARM Study Team.","Genet Med. 2022 Nov;24(11):2228-2239. doi: 10.1016/j.gim.2022.07.025. Epub 2022 Sep 2.","Joseph G","Genet Med","2022","2022/09/02","","","10.1016/j.gim.2022.07.025"
"35923691","Parental Hopes and Understandings of the Value of Prenatal Diagnostic Genomic Sequencing: A Qualitative Analysis","Outram SM, Brown JEH, Zamora AN, Sahin-Hodoglugil N, Ackerman SL.","Front Genet. 2022 Jul 18;13:883225. doi: 10.3389/fgene.2022.883225. eCollection 2022.","Outram SM","Front Genet","2022","2022/08/04","PMC9339950","","10.3389/fgene.2022.883225"
"35833928","Cost-effectiveness frameworks for comparing genome and exome sequencing versus conventional diagnostic pathways: A scoping review and recommended methods","Ferket BS, Baldwin Z, Murali P, Pai A, Mittendorf KF, Russell HV, Chen F, Lynch FL, Lich KH, Hindorff LA, Savich R, Slavotinek A, Smith HS, Gelb BD, Veenstra DL.","Genet Med. 2022 Oct;24(10):2014-2027. doi: 10.1016/j.gim.2022.06.004. Epub 2022 Jul 14.","Ferket BS","Genet Med","2022","2022/07/14","PMC9997042","NIHMS1874400","10.1016/j.gim.2022.06.004"
"35723972","The utility of pathologic examination and comprehensive phenotyping for accurate diagnosis with perinatal exome sequencing","Swanson K, Norton ME, Lianoglou BR, Jelin AC, Hodoglugil U, Van Ziffle J, Devine P, Sparks TN.","Prenat Diagn. 2022 Sep;42(10):1288-1294. doi: 10.1002/pd.6197. Epub 2022 Jul 3.","Swanson K","Prenat Diagn","2022","2022/06/20","PMC9531346","NIHMS1838026","10.1002/pd.6197"
"35713195","Clinical and molecular features of pediatric cancer patients with Lynch syndrome","Scollon S, Eldomery MK, Reuther J, Lin FY, Potter SL, Desrosiers L, McClain KL, Smith V, Su JM, Venkatramani R, Hu J, Korchina V, Zarrin-Khameh N, Gibbs RA, Muzny DM, Eng C, Roy A, Parsons DW, Plon SE.","Pediatr Blood Cancer. 2022 Nov;69(11):e29859. doi: 10.1002/pbc.29859. Epub 2022 Jun 30.","Scollon S","Pediatr Blood Cancer","2022","2022/06/17","PMC9529793","NIHMS1815645","10.1002/pbc.29859"
